previous_activity,activity,transition,transition_count,mean_wait_days,median_wait_days,p95_wait_days,max_wait_days
W_Valideren aanvraag,W_Nabellen incomplete dossiers,W_Valideren aanvraag → W_Nabellen incomplete dossiers,1988,0.09,0.04,0.25,2.88
W_Valideren aanvraag,O_SELECTED,W_Valideren aanvraag → O_SELECTED,64,0.18,0.04,0.78,2.68
W_Valideren aanvraag,O_DECLINED,W_Valideren aanvraag → O_DECLINED,126,0.41,0.03,2.84,5.79
W_Nabellen incomplete dossiers,O_CANCELLED,W_Nabellen incomplete dossiers → O_CANCELLED,153,0.49,0.03,2.9,6.99
A_PREACCEPTED,A_ACCEPTED,A_PREACCEPTED → A_ACCEPTED,1765,0.21,0.03,0.95,1.85
W_Valideren aanvraag,A_REGISTERED,W_Valideren aanvraag → A_REGISTERED,89,0.28,0.02,1.02,6.76
W_Valideren aanvraag,A_ACTIVATED,W_Valideren aanvraag → A_ACTIVATED,74,0.2,0.02,0.86,3.08
W_Valideren aanvraag,O_ACCEPTED,W_Valideren aanvraag → O_ACCEPTED,448,0.32,0.02,1.85,9.98
W_Valideren aanvraag,A_APPROVED,W_Valideren aanvraag → A_APPROVED,199,0.22,0.02,0.95,8.01
W_Afhandelen leads,A_ACCEPTED,W_Afhandelen leads → A_ACCEPTED,611,0.11,0.02,0.6,1.98
W_Afhandelen leads,A_DECLINED,W_Afhandelen leads → A_DECLINED,602,0.08,0.02,0.44,1.85
W_Afhandelen leads,W_Afhandelen leads,W_Afhandelen leads → W_Afhandelen leads,369,0.07,0.01,0.36,1.86
W_Afhandelen leads,A_PREACCEPTED,W_Afhandelen leads → A_PREACCEPTED,403,0.04,0.01,0.13,1.72
W_Completeren aanvraag,W_Nabellen offertes,W_Completeren aanvraag → W_Nabellen offertes,3554,3.1,0.01,8.23,13.96
O_CANCELLED,O_CREATED,O_CANCELLED → O_CREATED,974,0.0,0.0,0.0,0.0
O_SENT_BACK,W_Nabellen offertes,O_SENT_BACK → W_Nabellen offertes,3254,0.0,0.0,0.0,0.0
O_SELECTED,O_CREATED,O_SELECTED → O_CREATED,3149,0.0,0.0,0.0,0.0
A_CANCELLED,W_Completeren aanvraag,A_CANCELLED → W_Completeren aanvraag,750,0.0,0.0,0.0,1.87
O_SENT,W_Completeren aanvraag,O_SENT → W_Completeren aanvraag,5015,0.0,0.0,0.0,0.0
A_PREACCEPTED,W_Afhandelen leads,A_PREACCEPTED → W_Afhandelen leads,2515,0.0,0.0,0.0,0.0
A_CANCELLED,W_Nabellen offertes,A_CANCELLED → W_Nabellen offertes,467,0.0,0.0,0.0,0.0
O_SENT,W_Nabellen offertes,O_SENT → W_Nabellen offertes,1619,0.0,0.0,0.0,0.39
A_SUBMITTED,A_PARTLYSUBMITTED,A_SUBMITTED → A_PARTLYSUBMITTED,13087,0.0,0.0,0.0,0.0
O_CANCELLED,W_Nabellen offertes,O_CANCELLED → W_Nabellen offertes,512,0.0,0.0,0.0,1.87
O_SENT,W_Valideren aanvraag,O_SENT → W_Valideren aanvraag,205,0.0,0.0,0.0,0.0
A_DECLINED,W_Afhandelen leads,A_DECLINED → W_Afhandelen leads,2234,0.0,0.0,0.0,0.0
O_SENT_BACK,W_Nabellen incomplete dossiers,O_SENT_BACK → W_Nabellen incomplete dossiers,200,0.0,0.0,0.0,0.0
O_SELECTED,A_FINALIZED,O_SELECTED → A_FINALIZED,2907,0.0,0.0,0.0,0.0
A_DECLINED,W_Beoordelen fraude,A_DECLINED → W_Beoordelen fraude,57,0.0,0.0,0.0,0.0
A_APPROVED,A_ACTIVATED,A_APPROVED → A_ACTIVATED,789,0.0,0.0,0.0,0.0
O_ACCEPTED,A_ACTIVATED,O_ACCEPTED → A_ACTIVATED,566,0.0,0.0,0.0,0.0
A_FINALIZED,O_SELECTED,A_FINALIZED → O_SELECTED,2108,0.0,0.0,0.0,0.0
O_SELECTED,O_CANCELLED,O_SELECTED → O_CANCELLED,974,0.0,0.0,0.0,0.0
A_APPROVED,A_REGISTERED,A_APPROVED → A_REGISTERED,682,0.0,0.0,0.0,0.0
O_CANCELLED,A_CANCELLED,O_CANCELLED → A_CANCELLED,766,0.0,0.0,0.0,0.0
A_REGISTERED,O_ACCEPTED,A_REGISTERED → O_ACCEPTED,332,0.0,0.0,0.0,0.0
A_ACTIVATED,A_REGISTERED,A_ACTIVATED → A_REGISTERED,546,0.0,0.0,0.0,0.0
A_REGISTERED,A_APPROVED,A_REGISTERED → A_APPROVED,581,0.0,0.0,0.0,0.0
A_DECLINED,O_DECLINED,A_DECLINED → O_DECLINED,383,0.0,0.0,0.0,0.0
O_ACCEPTED,A_REGISTERED,O_ACCEPTED → A_REGISTERED,771,0.0,0.0,0.0,0.0
W_Completeren aanvraag,O_CANCELLED,W_Completeren aanvraag → O_CANCELLED,466,1.7,0.0,7.74,12.71
W_Completeren aanvraag,O_SELECTED,W_Completeren aanvraag → O_SELECTED,389,0.67,0.0,5.87,9.92
W_Valideren aanvraag,W_Beoordelen fraude,W_Valideren aanvraag → W_Beoordelen fraude,33,0.08,0.0,0.03,2.51
A_PARTLYSUBMITTED,A_PREACCEPTED,A_PARTLYSUBMITTED → A_PREACCEPTED,6959,0.07,0.0,0.51,1.76
A_APPROVED,W_Valideren aanvraag,A_APPROVED → W_Valideren aanvraag,275,0.0,0.0,0.0,1.06
A_ACCEPTED,A_CANCELLED,A_ACCEPTED → A_CANCELLED,46,0.0,0.0,0.01,0.06
A_REGISTERED,W_Nabellen incomplete dossiers,A_REGISTERED → W_Nabellen incomplete dossiers,58,0.0,0.0,0.0,0.02
A_ACTIVATED,W_Valideren aanvraag,A_ACTIVATED → W_Valideren aanvraag,941,0.0,0.0,0.0,0.0
A_DECLINED,W_Valideren aanvraag,A_DECLINED → W_Valideren aanvraag,348,0.0,0.0,0.0,0.0
O_ACCEPTED,W_Valideren aanvraag,O_ACCEPTED → W_Valideren aanvraag,230,0.0,0.0,0.0,0.0
O_DECLINED,W_Valideren aanvraag,O_DECLINED → W_Valideren aanvraag,320,0.0,0.0,0.0,0.0
A_FINALIZED,O_CREATED,A_FINALIZED → O_CREATED,2907,0.0,0.0,0.0,0.0
A_PARTLYSUBMITTED,A_DECLINED,A_PARTLYSUBMITTED → A_DECLINED,5301,0.08,0.0,0.51,1.74
O_SENT,W_Nabellen incomplete dossiers,O_SENT → W_Nabellen incomplete dossiers,191,0.0,0.0,0.0,0.0
A_DECLINED,W_Completeren aanvraag,A_DECLINED → W_Completeren aanvraag,1113,0.0,0.0,0.0,0.0
O_CANCELLED,W_Nabellen incomplete dossiers,O_CANCELLED → W_Nabellen incomplete dossiers,71,0.0,0.0,0.0,0.0
O_CREATED,O_SENT,O_CREATED → O_SENT,7030,0.0,0.0,0.0,0.0
A_CANCELLED,W_Nabellen incomplete dossiers,A_CANCELLED → W_Nabellen incomplete dossiers,56,0.0,0.0,0.0,0.0
W_Completeren aanvraag,A_CANCELLED,W_Completeren aanvraag → A_CANCELLED,989,1.32,0.0,7.96,30.75
O_ACCEPTED,A_APPROVED,O_ACCEPTED → A_APPROVED,654,0.0,0.0,0.0,0.0
A_REGISTERED,A_ACTIVATED,A_REGISTERED → A_ACTIVATED,670,0.0,0.0,0.0,0.0
A_CANCELLED,O_CANCELLED,A_CANCELLED → O_CANCELLED,865,0.0,0.0,0.0,0.0
O_CANCELLED,O_SELECTED,O_CANCELLED → O_SELECTED,1041,0.0,0.0,0.0,0.0
O_DECLINED,A_DECLINED,O_DECLINED → A_DECLINED,419,0.0,0.0,0.0,0.0
A_ACTIVATED,A_APPROVED,A_ACTIVATED → A_APPROVED,478,0.0,0.0,0.0,0.0
A_APPROVED,O_ACCEPTED,A_APPROVED → O_ACCEPTED,474,0.0,0.0,0.0,0.0
A_ACTIVATED,O_ACCEPTED,A_ACTIVATED → O_ACCEPTED,192,0.0,0.0,0.0,0.0
A_ACCEPTED,W_Completeren aanvraag,A_ACCEPTED → W_Completeren aanvraag,74,0.01,0.0,0.03,0.07
A_ACCEPTED,O_SELECTED,A_ACCEPTED → O_SELECTED,2879,0.0,0.0,0.01,0.04
A_ACCEPTED,A_FINALIZED,A_ACCEPTED → A_FINALIZED,2089,0.0,0.0,0.01,0.03
A_DECLINED,W_Nabellen incomplete dossiers,A_DECLINED → W_Nabellen incomplete dossiers,50,0.0,0.0,0.0,0.0
A_REGISTERED,W_Valideren aanvraag,A_REGISTERED → W_Valideren aanvraag,604,0.0,0.0,0.0,0.0
A_ACTIVATED,W_Nabellen incomplete dossiers,A_ACTIVATED → W_Nabellen incomplete dossiers,89,0.0,0.0,0.0,0.0
O_DECLINED,W_Nabellen incomplete dossiers,O_DECLINED → W_Nabellen incomplete dossiers,36,0.0,0.0,0.0,0.0
