duration_category,transition,transition_count,total_cases,transitions_per_case,mean_wait_days,median_wait_days,p95_wait_days
15-40 days,A_PREACCEPTED → W_Afhandelen leads,891,2884,0.31,0.0,0.0,0.0
15-40 days,O_ACCEPTED → A_APPROVED,271,2884,0.09,0.0,0.0,0.0
15-40 days,A_FINALIZED → O_CREATED,1388,2884,0.48,0.0,0.0,0.0
15-40 days,A_ACTIVATED → O_ACCEPTED,79,2884,0.03,0.0,0.0,0.0
15-40 days,W_Completeren aanvraag → O_SELECTED,206,2884,0.07,0.87,0.0,6.89
15-40 days,A_CANCELLED → W_Completeren aanvraag,53,2884,0.02,0.04,0.0,0.0
2-14 days,W_Completeren aanvraag → O_SENT_BACK,461,2833,0.16,5.54,5.94,7.71
2-14 days,W_Nabellen offertes → A_APPROVED,99,2833,0.03,3.16,3.17,6.1
2-14 days,W_Nabellen offertes → O_SENT_BACK,1220,2833,0.43,3.47,2.99,7.05
2-14 days,W_Nabellen offertes → A_REGISTERED,40,2833,0.01,2.74,2.69,5.2
2-14 days,W_Nabellen offertes → O_ACCEPTED,222,2833,0.08,2.68,2.23,6.0
2-14 days,W_Nabellen offertes → O_DECLINED,125,2833,0.04,2.53,2.16,5.24
2-14 days,W_Nabellen offertes → A_DECLINED,119,2833,0.04,2.48,2.15,5.78
2-14 days,W_Nabellen offertes → A_CANCELLED,250,2833,0.09,3.4,2.07,8.13
2-14 days,W_Nabellen offertes → W_Valideren aanvraag,989,2833,0.35,2.14,1.99,5.16
2-14 days,W_Nabellen offertes → A_ACTIVATED,48,2833,0.02,2.13,1.91,5.76
2-14 days,W_Nabellen offertes → O_CANCELLED,329,2833,0.12,2.66,1.62,7.92
2-14 days,W_Completeren aanvraag → A_CANCELLED,252,2833,0.09,2.48,0.88,8.1
2-14 days,W_Nabellen offertes → W_Nabellen offertes,2040,2833,0.72,2.55,0.88,7.99
2-14 days,W_Nabellen incomplete dossiers → O_SENT_BACK,32,2833,0.01,1.23,0.68,4.3
2-14 days,W_Nabellen offertes → O_SELECTED,96,2833,0.03,1.5,0.53,4.84
2-14 days,W_Completeren aanvraag → A_DECLINED,170,2833,0.06,0.97,0.27,3.54
2-14 days,W_Completeren aanvraag → W_Completeren aanvraag,3570,2833,1.26,0.59,0.18,2.16
2-14 days,A_PREACCEPTED → W_Completeren aanvraag,1047,2833,0.37,0.37,0.15,1.48
2-14 days,W_Beoordelen fraude → W_Beoordelen fraude,45,2833,0.02,0.87,0.11,3.26
2-14 days,W_Afhandelen leads → W_Completeren aanvraag,520,2833,0.18,0.22,0.1,0.86
2-14 days,W_Nabellen incomplete dossiers → W_Nabellen incomplete dossiers,1949,2833,0.69,0.39,0.06,1.99
2-14 days,W_Nabellen incomplete dossiers → O_ACCEPTED,194,2833,0.07,0.37,0.06,1.76
2-14 days,W_Nabellen incomplete dossiers → O_DECLINED,32,2833,0.01,0.19,0.06,0.83
2-14 days,W_Nabellen incomplete dossiers → W_Valideren aanvraag,282,2833,0.1,0.35,0.05,2.56
2-14 days,W_Beoordelen fraude → A_DECLINED,30,2833,0.01,0.48,0.05,2.93
2-14 days,W_Valideren aanvraag → A_DECLINED,62,2833,0.02,0.4,0.05,1.92
2-14 days,W_Nabellen incomplete dossiers → A_REGISTERED,39,2833,0.01,0.27,0.05,0.97
2-14 days,W_Nabellen incomplete dossiers → A_APPROVED,66,2833,0.02,0.3,0.05,0.93
2-14 days,W_Nabellen incomplete dossiers → A_DECLINED,31,2833,0.01,0.18,0.04,0.62
2-14 days,W_Nabellen incomplete dossiers → A_ACTIVATED,34,2833,0.01,0.3,0.04,0.88
2-14 days,W_Valideren aanvraag → W_Nabellen incomplete dossiers,727,2833,0.26,0.09,0.04,0.27
2-14 days,A_PREACCEPTED → A_ACCEPTED,933,2833,0.33,0.22,0.03,0.98
2-14 days,W_Valideren aanvraag → O_ACCEPTED,243,2833,0.09,0.26,0.03,1.03
2-14 days,W_Valideren aanvraag → A_APPROVED,103,2833,0.04,0.15,0.03,0.81
2-14 days,W_Completeren aanvraag → A_ACCEPTED,1172,2833,0.41,0.18,0.03,0.86
2-14 days,W_Valideren aanvraag → W_Valideren aanvraag,708,2833,0.25,0.35,0.03,2.16
2-14 days,W_Valideren aanvraag → O_DECLINED,68,2833,0.02,0.38,0.03,2.42
2-14 days,A_PARTLYSUBMITTED → W_Afhandelen leads,145,2833,0.05,0.3,0.03,1.59
2-14 days,W_Afhandelen leads → A_ACCEPTED,298,2833,0.11,0.11,0.02,0.62
2-14 days,W_Nabellen incomplete dossiers → O_CANCELLED,44,2833,0.02,0.21,0.02,0.65
2-14 days,W_Valideren aanvraag → A_ACTIVATED,42,2833,0.01,0.21,0.02,0.99
2-14 days,W_Valideren aanvraag → A_REGISTERED,49,2833,0.02,0.19,0.01,0.81
2-14 days,W_Afhandelen leads → W_Afhandelen leads,101,2833,0.04,0.1,0.01,0.64
2-14 days,W_Afhandelen leads → A_PREACCEPTED,139,2833,0.05,0.03,0.01,0.13
2-14 days,A_SUBMITTED → A_PARTLYSUBMITTED,2833,2833,1.0,0.0,0.0,0.0
2-14 days,O_ACCEPTED → W_Valideren aanvraag,121,2833,0.04,0.0,0.0,0.0
2-14 days,A_ACTIVATED → W_Nabellen incomplete dossiers,48,2833,0.02,0.0,0.0,0.0
2-14 days,A_FINALIZED → O_CREATED,1355,2833,0.48,0.0,0.0,0.0
2-14 days,A_ACCEPTED → A_FINALIZED,1022,2833,0.36,0.0,0.0,0.01
2-14 days,A_ACCEPTED → O_SELECTED,1346,2833,0.48,0.0,0.0,0.01
2-14 days,O_SELECTED → O_CANCELLED,291,2833,0.1,0.0,0.0,0.0
2-14 days,O_DECLINED → A_DECLINED,229,2833,0.08,0.0,0.0,0.0
2-14 days,O_SENT_BACK → W_Nabellen offertes,1681,2833,0.59,0.0,0.0,0.0
2-14 days,O_ACCEPTED → A_APPROVED,353,2833,0.12,0.0,0.0,0.0
2-14 days,O_CANCELLED → A_CANCELLED,297,2833,0.1,0.0,0.0,0.0
2-14 days,A_DECLINED → O_DECLINED,215,2833,0.08,0.0,0.0,0.0
2-14 days,W_Completeren aanvraag → O_CANCELLED,254,2833,0.09,2.23,0.0,7.98
2-14 days,A_PREACCEPTED → W_Afhandelen leads,820,2833,0.29,0.0,0.0,0.0
2-14 days,A_PARTLYSUBMITTED → A_PREACCEPTED,2661,2833,0.94,0.05,0.0,0.46
2-14 days,O_SENT → W_Completeren aanvraag,2384,2833,0.84,0.0,0.0,0.0
2-14 days,O_CREATED → O_SENT,3026,2833,1.07,0.0,0.0,0.0
2-14 days,O_SENT → W_Nabellen incomplete dossiers,32,2833,0.01,0.0,0.0,0.0
2-14 days,O_CANCELLED → O_CREATED,291,2833,0.1,0.0,0.0,0.0
2-14 days,W_Completeren aanvraag → O_SELECTED,164,2833,0.06,0.45,0.0,3.72
2-14 days,A_CANCELLED → W_Nabellen offertes,268,2833,0.09,0.0,0.0,0.0
2-14 days,A_ACTIVATED → O_ACCEPTED,105,2833,0.04,0.0,0.0,0.0
2-14 days,A_REGISTERED → O_ACCEPTED,186,2833,0.07,0.0,0.0,0.0
2-14 days,A_ACTIVATED → A_REGISTERED,275,2833,0.1,0.0,0.0,0.0
2-14 days,O_SENT → W_Valideren aanvraag,83,2833,0.03,0.0,0.0,0.0
2-14 days,W_Completeren aanvraag → W_Nabellen offertes,1445,2833,0.51,2.34,0.0,8.06
2-14 days,A_APPROVED → W_Valideren aanvraag,155,2833,0.05,0.0,0.0,0.0
2-14 days,A_REGISTERED → W_Valideren aanvraag,303,2833,0.11,0.0,0.0,0.0
2-14 days,A_REGISTERED → W_Nabellen incomplete dossiers,30,2833,0.01,0.0,0.0,0.0
2-14 days,O_SELECTED → O_CREATED,1380,2833,0.49,0.0,0.0,0.0
2-14 days,A_APPROVED → A_ACTIVATED,424,2833,0.15,0.0,0.0,0.0
2-14 days,A_ACTIVATED → W_Valideren aanvraag,503,2833,0.18,0.0,0.0,0.0
2-14 days,A_DECLINED → W_Completeren aanvraag,167,2833,0.06,0.0,0.0,0.0
2-14 days,O_CANCELLED → O_SELECTED,351,2833,0.12,0.0,0.0,0.0
2-14 days,A_REGISTERED → A_APPROVED,309,2833,0.11,0.0,0.0,0.0
2-14 days,O_ACCEPTED → A_REGISTERED,416,2833,0.15,0.0,0.0,0.0
2-14 days,A_APPROVED → O_ACCEPTED,231,2833,0.08,0.0,0.0,0.0
2-14 days,O_CANCELLED → W_Nabellen offertes,301,2833,0.11,0.0,0.0,0.0
2-14 days,A_REGISTERED → A_ACTIVATED,356,2833,0.13,0.0,0.0,0.0
2-14 days,A_APPROVED → A_REGISTERED,365,2833,0.13,0.0,0.0,0.0
2-14 days,A_ACTIVATED → A_APPROVED,254,2833,0.09,0.0,0.0,0.0
2-14 days,A_FINALIZED → O_SELECTED,1029,2833,0.36,0.0,0.0,0.0
2-14 days,A_CANCELLED → O_CANCELLED,332,2833,0.12,0.0,0.0,0.0
2-14 days,O_SELECTED → A_FINALIZED,1355,2833,0.48,0.0,0.0,0.0
2-14 days,O_SENT_BACK → W_Nabellen incomplete dossiers,35,2833,0.01,0.0,0.0,0.0
2-14 days,A_DECLINED → W_Valideren aanvraag,192,2833,0.07,0.0,0.0,0.0
2-14 days,O_DECLINED → W_Valideren aanvraag,178,2833,0.06,0.0,0.0,0.0
2-14 days,O_ACCEPTED → A_ACTIVATED,280,2833,0.1,0.0,0.0,0.0
2-14 days,O_SENT → W_Nabellen offertes,527,2833,0.19,0.0,0.0,0.0
2-14 days,A_CANCELLED → W_Completeren aanvraag,201,2833,0.07,0.0,0.0,0.0
Over 40 days,W_Nabellen offertes → O_SENT_BACK,107,200,0.54,3.98,3.68,8.6
Over 40 days,W_Nabellen offertes → W_Valideren aanvraag,92,200,0.46,2.89,2.96,6.0
Over 40 days,W_Nabellen offertes → W_Nabellen offertes,1826,200,9.13,3.31,1.92,10.79
Over 40 days,W_Nabellen offertes → O_SELECTED,104,200,0.52,3.45,1.87,12.63
Over 40 days,W_Nabellen offertes → O_CANCELLED,141,200,0.71,2.65,0.82,11.89
Over 40 days,W_Nabellen incomplete dossiers → W_Nabellen incomplete dossiers,1565,200,7.83,1.09,0.27,5.11
Over 40 days,W_Completeren aanvraag → W_Completeren aanvraag,379,200,1.9,0.59,0.17,2.19
Over 40 days,A_PREACCEPTED → W_Completeren aanvraag,81,200,0.41,0.29,0.15,0.83
Over 40 days,W_Nabellen incomplete dossiers → W_Valideren aanvraag,74,200,0.37,0.82,0.13,3.78
Over 40 days,W_Afhandelen leads → W_Completeren aanvraag,40,200,0.2,0.14,0.09,0.56
Over 40 days,W_Completeren aanvraag → A_ACCEPTED,121,200,0.61,0.77,0.06,3.95
Over 40 days,W_Valideren aanvraag → W_Valideren aanvraag,171,200,0.86,1.31,0.06,8.53
Over 40 days,W_Valideren aanvraag → W_Nabellen incomplete dossiers,137,200,0.69,0.08,0.05,0.2
Over 40 days,A_PREACCEPTED → A_ACCEPTED,58,200,0.29,0.18,0.03,0.78
Over 40 days,W_Completeren aanvraag → W_Nabellen offertes,171,200,0.86,3.44,0.01,9.53
Over 40 days,O_CANCELLED → O_SELECTED,124,200,0.62,0.0,0.0,0.0
Over 40 days,A_ACCEPTED → O_SELECTED,122,200,0.61,0.0,0.0,0.01
Over 40 days,O_SELECTED → O_CANCELLED,131,200,0.66,0.0,0.0,0.0
Over 40 days,A_FINALIZED → O_SELECTED,75,200,0.38,0.0,0.0,0.0
Over 40 days,A_PARTLYSUBMITTED → A_PREACCEPTED,190,200,0.95,0.06,0.0,0.49
Over 40 days,W_Nabellen offertes → A_CANCELLED,41,200,0.21,2.35,0.0,9.01
Over 40 days,O_CREATED → O_SENT,455,200,2.28,0.0,0.0,0.0
Over 40 days,O_SENT → W_Nabellen offertes,229,200,1.15,0.0,0.0,0.0
Over 40 days,A_CANCELLED → O_CANCELLED,53,200,0.27,0.0,0.0,0.0
Over 40 days,O_SENT_BACK → W_Nabellen offertes,110,200,0.55,0.0,0.0,0.0
Over 40 days,O_CANCELLED → O_CREATED,131,200,0.66,0.0,0.0,0.0
Over 40 days,O_SELECTED → O_CREATED,199,200,1.0,0.0,0.0,0.0
Over 40 days,A_PREACCEPTED → W_Afhandelen leads,61,200,0.31,0.0,0.0,0.0
Over 40 days,O_CANCELLED → A_CANCELLED,50,200,0.25,0.0,0.0,0.0
Over 40 days,A_FINALIZED → O_CREATED,125,200,0.63,0.0,0.0,0.0
Over 40 days,O_SELECTED → A_FINALIZED,125,200,0.63,0.0,0.0,0.0
Over 40 days,A_ACCEPTED → A_FINALIZED,74,200,0.37,0.0,0.0,0.01
Over 40 days,A_SUBMITTED → A_PARTLYSUBMITTED,200,200,1.0,0.0,0.0,0.0
Over 40 days,O_SENT → W_Completeren aanvraag,200,200,1.0,0.0,0.0,0.0
Same day,A_PREACCEPTED → W_Completeren aanvraag,287,6762,0.04,0.23,0.08,0.75
Same day,A_PREACCEPTED → A_CANCELLED,124,6762,0.02,0.18,0.07,0.66
Same day,W_Afhandelen leads → A_CANCELLED,54,6762,0.01,0.14,0.07,0.62
Same day,W_Afhandelen leads → W_Completeren aanvraag,266,6762,0.04,0.12,0.06,0.59
Same day,A_PREACCEPTED → A_DECLINED,153,6762,0.02,0.2,0.06,0.72
Same day,W_Completeren aanvraag → W_Completeren aanvraag,426,6762,0.06,0.1,0.04,0.61
Same day,A_PARTLYSUBMITTED → W_Afhandelen leads,427,6762,0.06,0.18,0.04,0.64
Same day,W_Completeren aanvraag → A_DECLINED,342,6762,0.05,0.12,0.03,0.64
Same day,W_Afhandelen leads → A_DECLINED,564,6762,0.08,0.07,0.02,0.31
Same day,W_Completeren aanvraag → A_CANCELLED,189,6762,0.03,0.14,0.02,0.73
Same day,W_Afhandelen leads → W_Afhandelen leads,172,6762,0.03,0.05,0.01,0.17
Same day,A_PREACCEPTED → A_ACCEPTED,48,6762,0.01,0.12,0.01,0.65
Same day,A_DECLINED → W_Afhandelen leads,2133,6762,0.32,0.0,0.0,0.0
Same day,A_PARTLYSUBMITTED → A_PREACCEPTED,1094,6762,0.16,0.06,0.0,0.48
Same day,A_ACCEPTED → A_CANCELLED,30,6762,0.0,0.0,0.0,0.01
Same day,A_PARTLYSUBMITTED → A_DECLINED,5223,6762,0.77,0.06,0.0,0.48
Same day,W_Afhandelen leads → A_PREACCEPTED,88,6762,0.01,0.03,0.0,0.11
Same day,O_SENT → W_Completeren aanvraag,43,6762,0.01,0.0,0.0,0.0
Same day,O_CREATED → O_SENT,48,6762,0.01,0.0,0.0,0.0
Same day,O_SENT_BACK → W_Nabellen offertes,30,6762,0.0,0.0,0.0,0.0
Same day,A_PREACCEPTED → W_Afhandelen leads,570,6762,0.08,0.0,0.0,0.0
Same day,A_SUBMITTED → A_PARTLYSUBMITTED,6762,6762,1.0,0.0,0.0,0.0
Same day,A_DECLINED → W_Completeren aanvraag,741,6762,0.11,0.0,0.0,0.0
Same day,A_CANCELLED → W_Completeren aanvraag,393,6762,0.06,0.0,0.0,0.0
