resource,lifecycle_transition,activity,timestamp,case_registration_date,case_id,amount_requested
11181,START,W_Nabellen offertes,2011-10-28 19:34:27.136000+00:00,2011-10-05 21:52:08.108000+00:00,174938,5000
11259,COMPLETE,O_SENT_BACK,2012-01-18 13:26:32.424000+00:00,2012-01-10 21:32:58.554000+00:00,199735,7500
10935,COMPLETE,W_Nabellen incomplete dossiers,2012-02-20 12:26:02.230000+00:00,2012-02-04 13:37:43.579000+00:00,206444,34862
112,COMPLETE,A_SUBMITTED,2011-10-26 15:10:56.115000+00:00,2011-10-26 15:10:56.115000+00:00,180001,5000
11180,START,W_Completeren aanvraag,2011-11-14 15:31:28.739000+00:00,2011-11-07 01:30:38.896000+00:00,182686,5000
11049,START,W_Nabellen incomplete dossiers,2011-12-15 12:29:24.065000+00:00,2011-12-05 08:32:23.517000+00:00,191245,50000
10629,COMPLETE,W_Nabellen incomplete dossiers,2012-02-15 09:44:30.908000+00:00,2012-02-04 12:18:14.253000+00:00,206420,5000
11122,START,W_Nabellen offertes,2012-01-03 20:49:02.289000+00:00,2011-12-17 14:40:23.368000+00:00,194224,20000
10929,COMPLETE,O_SELECTED,2012-01-07 15:03:27.123000+00:00,2012-01-06 13:24:41.423000+00:00,198597,10000
112,COMPLETE,A_DECLINED,2012-01-20 10:09:20.792000+00:00,2012-01-20 10:08:43.165000+00:00,202488,5000
11189,SCHEDULE,W_Nabellen offertes,2011-11-24 12:42:02.727000+00:00,2011-11-24 11:39:25.042000+00:00,188678,6000
10929,START,W_Nabellen offertes,2011-12-13 19:18:47.523000+00:00,2011-11-28 20:14:38.745000+00:00,189664,10000
11122,COMPLETE,W_Nabellen offertes,2011-11-09 14:46:40.621000+00:00,2011-11-09 14:31:40.287000+00:00,183471,25000
,COMPLETE,W_Completeren aanvraag,2011-10-15 11:24:10.585000+00:00,2011-10-06 15:37:03.700000+00:00,175096,5000
10609,START,W_Valideren aanvraag,2012-01-19 14:21:39.865000+00:00,2012-01-10 22:19:18.605000+00:00,199753,5000
10972,START,W_Valideren aanvraag,2012-02-03 09:56:06.022000+00:00,2012-01-03 13:10:35.574000+00:00,197515,50000
11189,START,W_Completeren aanvraag,2011-12-29 11:17:22+00:00,2011-12-28 18:41:17.380000+00:00,196186,10000
10861,START,W_Completeren aanvraag,2011-12-30 13:29:29.309000+00:00,2011-12-30 11:05:02.633000+00:00,196678,25000
10972,COMPLETE,A_ACTIVATED,2012-02-06 12:39:44.220000+00:00,2012-01-24 15:10:31.044000+00:00,203585,15000
112,COMPLETE,A_PARTLYSUBMITTED,2012-01-01 14:23:06.396000+00:00,2012-01-01 14:23:06.194000+00:00,196963,5000
112,COMPLETE,A_SUBMITTED,2012-01-24 18:11:54.045000+00:00,2012-01-24 18:11:54.045000+00:00,203663,7500
,START,W_Afhandelen leads,2011-12-01 09:34:32.149000+00:00,2011-11-30 21:29:43.438000+00:00,190285,25000
10909,COMPLETE,A_PREACCEPTED,2011-12-05 10:48:53.806000+00:00,2011-12-04 21:07:24.491000+00:00,191193,7000
10629,START,W_Nabellen incomplete dossiers,2012-02-02 15:17:05.221000+00:00,2012-01-22 13:16:47.775000+00:00,202968,15000
10889,COMPLETE,O_CREATED,2011-12-13 10:56:18.164000+00:00,2011-12-10 22:31:00.154000+00:00,192674,10000
11000,START,W_Completeren aanvraag,2011-12-22 12:15:45.665000+00:00,2011-12-22 11:58:35.155000+00:00,195109,12500
10909,START,W_Nabellen incomplete dossiers,2012-01-23 14:09:59.163000+00:00,2011-12-05 09:49:06.286000+00:00,191266,15000
112,COMPLETE,A_PREACCEPTED,2011-12-21 15:25:47.745000+00:00,2011-12-21 15:25:08.496000+00:00,194958,10000
11259,START,W_Nabellen offertes,2012-01-30 11:27:40.002000+00:00,2012-01-16 15:42:30.940000+00:00,201385,9000
11299,COMPLETE,A_FINALIZED,2012-02-29 15:59:40.648000+00:00,2012-02-28 13:08:02.553000+00:00,213705,7500
10138,SCHEDULE,W_Nabellen incomplete dossiers,2011-11-28 15:25:31.550000+00:00,2011-11-16 19:31:36.698000+00:00,185990,5000
11189,COMPLETE,A_CANCELLED,2011-11-03 15:18:42.900000+00:00,2011-11-03 14:30:54.088000+00:00,181975,10000
11180,COMPLETE,W_Completeren aanvraag,2011-11-14 15:48:53.103000+00:00,2011-11-12 12:04:41.528000+00:00,184757,15000
10629,SCHEDULE,W_Nabellen incomplete dossiers,2012-01-24 15:46:08.694000+00:00,2012-01-12 19:58:03.235000+00:00,200374,9500
10899,COMPLETE,O_SENT_BACK,2012-02-21 11:40:44.215000+00:00,2012-02-10 16:27:46.389000+00:00,208196,15000
11179,COMPLETE,O_SENT,2011-12-07 13:43:39.128000+00:00,2011-12-07 13:19:55.528000+00:00,191929,21000
112,COMPLETE,A_SUBMITTED,2011-10-18 12:39:27.831000+00:00,2011-10-18 12:39:27.831000+00:00,177791,35000
112,COMPLETE,A_PREACCEPTED,2011-10-09 20:37:34.549000+00:00,2011-10-09 20:36:58.521000+00:00,175801,10000
10909,START,W_Nabellen offertes,2012-02-27 10:07:11.414000+00:00,2012-02-25 15:34:26.431000+00:00,212773,16000
10929,COMPLETE,W_Completeren aanvraag,2012-01-10 14:15:50.984000+00:00,2012-01-09 18:30:17.140000+00:00,199363,15000
10909,START,W_Completeren aanvraag,2012-01-07 13:41:18.487000+00:00,2011-12-26 22:25:42.149000+00:00,195669,25000
,START,W_Nabellen incomplete dossiers,2011-10-24 13:30:04.258000+00:00,2011-10-07 13:55:01.268000+00:00,175335,5000
10629,START,W_Valideren aanvraag,2012-01-06 16:55:29.601000+00:00,2011-11-08 16:47:05.815000+00:00,183175,15000
10899,COMPLETE,O_SENT_BACK,2012-03-12 13:46:51.111000+00:00,2012-02-26 15:28:35.212000+00:00,212965,5000
10881,START,W_Nabellen offertes,2011-11-21 18:02:42.587000+00:00,2011-11-10 19:54:15.229000+00:00,184270,8500
10933,COMPLETE,W_Completeren aanvraag,2012-02-27 18:11:28.859000+00:00,2012-02-26 18:09:52.685000+00:00,213001,13000
10939,COMPLETE,W_Afhandelen leads,2012-01-11 19:50:29.984000+00:00,2012-01-11 19:48:00.195000+00:00,200004,15000
10982,COMPLETE,A_DECLINED,2012-02-14 14:03:42.906000+00:00,2012-02-14 13:55:08.932000+00:00,209299,30000
10881,START,W_Nabellen offertes,2012-02-03 11:35:17.159000+00:00,2012-01-29 23:31:15.378000+00:00,204859,32000
11259,COMPLETE,W_Nabellen offertes,2011-11-23 09:50:45.795000+00:00,2011-11-07 10:36:19.856000+00:00,182735,30000
112,COMPLETE,A_SUBMITTED,2011-10-05 17:38:33.188000+00:00,2011-10-05 17:38:33.188000+00:00,174857,14500
112,COMPLETE,A_DECLINED,2012-01-18 19:01:24.939000+00:00,2012-01-18 19:00:49.746000+00:00,202092,500
11000,START,W_Nabellen incomplete dossiers,2011-12-29 16:02:08.127000+00:00,2011-12-19 16:54:20.466000+00:00,194508,15000
11203,START,W_Nabellen offertes,2012-03-01 13:55:00.210000+00:00,2012-02-09 11:34:58.951000+00:00,207777,15000
10913,COMPLETE,W_Nabellen incomplete dossiers,2011-10-28 20:36:02.703000+00:00,2011-10-12 17:38:59.611000+00:00,176515,8000
10861,START,W_Completeren aanvraag,2011-12-27 13:25:48.516000+00:00,2011-12-15 13:29:26.657000+00:00,193774,12000
112,COMPLETE,A_SUBMITTED,2012-01-20 13:41:21.151000+00:00,2012-01-20 13:41:21.151000+00:00,202572,5000
11169,COMPLETE,O_CANCELLED,2012-01-18 16:32:35.704000+00:00,2012-01-06 11:35:39.678000+00:00,198543,15000
10861,START,W_Nabellen offertes,2011-12-27 18:52:45.244000+00:00,2011-12-13 15:05:42.754000+00:00,193255,30000
10899,START,W_Nabellen offertes,2012-02-17 10:43:54.088000+00:00,2012-02-02 23:03:15.262000+00:00,206132,30000
10138,COMPLETE,W_Valideren aanvraag,2012-02-22 10:54:56.388000+00:00,2012-02-11 17:39:56.701000+00:00,208451,16000
10909,COMPLETE,W_Nabellen offertes,2012-02-18 11:00:22.203000+00:00,2012-02-15 11:55:54.230000+00:00,209652,45000
112,COMPLETE,O_CANCELLED,2011-11-13 09:15:35.914000+00:00,2011-10-13 19:07:08.868000+00:00,176786,15000
11122,COMPLETE,O_SELECTED,2012-02-13 18:25:08.174000+00:00,2012-02-13 14:32:52.068000+00:00,208859,8500
11179,START,W_Completeren aanvraag,2011-12-03 15:17:33.657000+00:00,2011-12-02 18:04:23.391000+00:00,190815,22000
10629,COMPLETE,W_Valideren aanvraag,2012-02-16 15:35:44.440000+00:00,2012-01-29 21:13:24.699000+00:00,204841,7000
10861,START,W_Completeren aanvraag,2012-01-14 11:04:12.278000+00:00,2012-01-05 15:45:31.062000+00:00,198343,14000
11180,COMPLETE,W_Nabellen offertes,2012-03-01 10:40:43.141000+00:00,2012-02-26 11:36:18.276000+00:00,212914,10000
10861,COMPLETE,O_CANCELLED,2011-11-21 14:10:00.139000+00:00,2011-11-17 16:26:49.769000+00:00,186382,7300
11003,COMPLETE,W_Afhandelen leads,2012-01-30 14:13:55.251000+00:00,2012-01-29 21:30:10.734000+00:00,204844,8000
10609,COMPLETE,A_DECLINED,2011-11-11 08:47:04.810000+00:00,2011-11-01 18:19:54.775000+00:00,181393,10000
10789,SCHEDULE,W_Nabellen offertes,2011-12-23 16:20:37.784000+00:00,2011-11-28 15:12:06.944000+00:00,189562,25000
10861,COMPLETE,W_Completeren aanvraag,2012-01-18 19:10:16.219000+00:00,2012-01-18 17:49:30.913000+00:00,202074,11000
11201,COMPLETE,W_Completeren aanvraag,2011-11-11 18:42:05.810000+00:00,2011-11-10 23:18:45.274000+00:00,184357,36000
112,COMPLETE,A_SUBMITTED,2012-01-16 14:57:59.060000+00:00,2012-01-16 14:57:59.060000+00:00,201349,5000
,COMPLETE,W_Afhandelen leads,2011-12-01 09:32:09.035000+00:00,2011-11-30 21:19:52.015000+00:00,190282,15000
,START,W_Afhandelen leads,2011-11-28 16:22:50.524000+00:00,2011-11-28 16:02:04.760000+00:00,189577,7500
11259,SCHEDULE,W_Valideren aanvraag,2012-02-02 13:22:55.463000+00:00,2012-01-19 16:38:44.457000+00:00,202325,5000
10909,COMPLETE,O_SENT,2011-11-25 19:49:54.332000+00:00,2011-11-25 19:42:03.926000+00:00,189061,15000
10935,COMPLETE,W_Nabellen incomplete dossiers,2012-01-27 17:39:37.284000+00:00,2012-01-10 14:03:19.088000+00:00,199579,10000
10609,COMPLETE,W_Valideren aanvraag,2012-01-18 07:57:43.266000+00:00,2011-12-29 12:00:35.416000+00:00,196359,7200
10909,COMPLETE,W_Nabellen incomplete dossiers,2012-03-10 15:26:22.908000+00:00,2012-02-15 15:08:59.586000+00:00,209733,7500
10609,COMPLETE,O_DECLINED,2011-11-04 11:56:56.227000+00:00,2011-10-28 10:48:11.071000+00:00,180469,5000
10899,COMPLETE,W_Nabellen offertes,2012-02-17 10:58:48.739000+00:00,2012-01-24 21:26:08.870000+00:00,203732,8500
10929,COMPLETE,W_Completeren aanvraag,2012-01-16 12:31:38.426000+00:00,2012-01-15 11:41:24.984000+00:00,201021,10000
112,COMPLETE,A_PARTLYSUBMITTED,2011-10-23 22:33:51.147000+00:00,2011-10-23 22:33:49.451000+00:00,179320,80000
11169,START,W_Completeren aanvraag,2011-10-11 14:29:59.064000+00:00,2011-10-11 14:17:56.631000+00:00,176185,37000
112,COMPLETE,A_PARTLYSUBMITTED,2012-01-02 00:03:32.859000+00:00,2012-01-02 00:03:32.010000+00:00,197020,1000
10809,SCHEDULE,W_Nabellen incomplete dossiers,2011-12-28 10:51:04.613000+00:00,2011-12-15 12:50:24.801000+00:00,193762,20000
11000,COMPLETE,A_DECLINED,2012-01-24 09:15:02.620000+00:00,2012-01-20 18:16:08.524000+00:00,202668,5000
10899,SCHEDULE,W_Valideren aanvraag,2011-12-22 09:25:56.198000+00:00,2011-12-14 13:16:22.259000+00:00,193473,20000
10972,COMPLETE,A_REGISTERED,2012-01-27 11:50:50.304000+00:00,2012-01-03 08:43:17.392000+00:00,197419,25000
112,COMPLETE,A_SUBMITTED,2011-11-04 14:05:15.153000+00:00,2011-11-04 14:05:15.153000+00:00,182215,10000
11201,START,W_Completeren aanvraag,2011-10-10 17:15:40.402000+00:00,2011-10-09 12:41:32.323000+00:00,175699,40000
10909,START,W_Nabellen incomplete dossiers,2012-03-13 20:27:09.684000+00:00,2012-02-07 10:36:51.045000+00:00,207032,9000
112,COMPLETE,A_PARTLYSUBMITTED,2011-12-12 12:23:03.292000+00:00,2011-12-12 12:23:02.568000+00:00,192900,10000
10889,START,W_Valideren aanvraag,2011-11-16 13:59:02.191000+00:00,2011-11-01 22:59:59.171000+00:00,181480,30000
,START,W_Completeren aanvraag,2011-12-30 19:03:40.991000+00:00,2011-12-23 19:15:22.268000+00:00,195404,26750
10861,COMPLETE,O_CREATED,2011-11-28 19:35:41.680000+00:00,2011-11-25 21:07:39.961000+00:00,189088,8500
,START,W_Afhandelen leads,2011-11-14 09:59:35.137000+00:00,2011-11-13 21:18:06.482000+00:00,185066,40000
10909,COMPLETE,W_Nabellen offertes,2012-02-11 15:44:34.306000+00:00,2012-02-03 13:26:06.449000+00:00,206246,50000
11169,COMPLETE,O_SELECTED,2011-10-18 14:44:07.366000+00:00,2011-10-18 14:28:08.645000+00:00,177836,10000
10889,COMPLETE,A_DECLINED,2012-02-27 13:09:18.231000+00:00,2012-02-25 18:44:46.716000+00:00,212821,25000
10929,COMPLETE,W_Completeren aanvraag,2011-12-05 16:49:35.395000+00:00,2011-12-05 16:31:40.772000+00:00,191416,16000
112,SCHEDULE,W_Completeren aanvraag,2011-11-30 08:46:01.970000+00:00,2011-11-30 08:45:24.598000+00:00,190048,9000
10939,START,W_Nabellen offertes,2011-12-22 18:44:47.105000+00:00,2011-12-07 11:14:11.449000+00:00,191872,10000
11049,SCHEDULE,W_Valideren aanvraag,2012-01-24 13:25:33.942000+00:00,2012-01-06 16:45:52.893000+00:00,198678,3500
11179,START,W_Completeren aanvraag,2012-02-06 11:04:40.252000+00:00,2012-02-05 16:42:18.178000+00:00,206615,22000
11119,COMPLETE,W_Nabellen offertes,2012-02-08 17:30:33.402000+00:00,2012-02-08 14:33:15.885000+00:00,207467,10000
11181,COMPLETE,W_Nabellen offertes,2011-10-18 17:35:56.219000+00:00,2011-10-03 11:06:41.562000+00:00,174012,7500
10929,COMPLETE,W_Completeren aanvraag,2012-01-14 14:04:20.081000+00:00,2012-01-13 20:16:07.794000+00:00,200710,6000
11201,START,W_Completeren aanvraag,2012-02-02 11:32:45.244000+00:00,2012-01-30 10:59:27.732000+00:00,204933,6500
11201,COMPLETE,W_Nabellen offertes,2012-01-18 18:45:40.472000+00:00,2012-01-09 11:42:33.977000+00:00,199213,5000
112,COMPLETE,A_PARTLYSUBMITTED,2012-01-27 15:58:46.303000+00:00,2012-01-27 15:58:46.061000+00:00,204466,10000
10809,COMPLETE,W_Valideren aanvraag,2012-02-29 11:50:20.190000+00:00,2012-02-10 15:00:25.565000+00:00,208139,35000
11121,COMPLETE,O_SELECTED,2011-10-04 19:26:03.389000+00:00,2011-10-04 14:06:12.499000+00:00,174409,25000
10935,COMPLETE,W_Nabellen offertes,2012-02-20 10:16:20.807000+00:00,2012-02-15 11:55:25.992000+00:00,209646,18500
112,COMPLETE,A_PARTLYSUBMITTED,2011-10-15 09:35:13.147000+00:00,2011-10-15 09:35:13.022000+00:00,177134,35000
11169,COMPLETE,W_Nabellen incomplete dossiers,2012-01-31 14:51:20.193000+00:00,2012-01-24 10:34:14.941000+00:00,203501,6000
10881,START,W_Completeren aanvraag,2012-02-08 19:15:22.413000+00:00,2012-02-08 16:15:23.427000+00:00,207506,2000
10861,COMPLETE,W_Nabellen offertes,2011-11-19 16:06:56.577000+00:00,2011-11-03 18:15:13.618000+00:00,182038,10000
,START,W_Nabellen offertes,2011-11-04 15:49:10.635000+00:00,2011-10-22 19:29:54.097000+00:00,179134,18000
11203,START,W_Nabellen offertes,2011-10-26 18:02:50.814000+00:00,2011-10-17 14:51:51.726000+00:00,177528,14000
10138,COMPLETE,A_APPROVED,2012-01-07 11:48:57.657000+00:00,2011-11-12 16:06:55.478000+00:00,184814,15000
10912,COMPLETE,W_Completeren aanvraag,2012-02-01 14:47:13.480000+00:00,2012-02-01 12:58:40.677000+00:00,205583,15000
112,SCHEDULE,W_Afhandelen leads,2012-02-09 14:10:18.099000+00:00,2012-02-09 14:09:49.149000+00:00,207837,7500
11180,COMPLETE,W_Completeren aanvraag,2012-01-30 16:07:30.804000+00:00,2012-01-29 23:31:15.378000+00:00,204859,32000
11180,START,W_Completeren aanvraag,2012-01-18 19:52:03.082000+00:00,2012-01-04 16:06:44.080000+00:00,197963,25000
10912,START,W_Completeren aanvraag,2012-02-17 09:47:17.676000+00:00,2012-02-15 15:49:34.890000+00:00,209754,10000
10971,COMPLETE,O_SENT,2011-10-04 09:40:05.994000+00:00,2011-10-04 09:31:17.618000+00:00,174334,5000
11181,COMPLETE,O_CREATED,2012-02-15 10:35:13.376000+00:00,2012-02-15 10:24:05.395000+00:00,209607,5000
11259,START,W_Nabellen incomplete dossiers,2011-12-28 09:45:10.011000+00:00,2011-12-22 15:45:14.221000+00:00,195160,25000
11049,SCHEDULE,W_Valideren aanvraag,2011-11-28 15:25:55.537000+00:00,2011-10-12 19:12:43.265000+00:00,176542,5500
10909,SCHEDULE,W_Nabellen offertes,2012-02-25 12:35:48.854000+00:00,2012-02-25 10:26:01.118000+00:00,212671,4000
10629,COMPLETE,O_DECLINED,2012-02-20 10:30:04.844000+00:00,2012-02-06 14:04:09.700000+00:00,206790,16000
10929,START,W_Nabellen incomplete dossiers,2011-11-17 19:03:40.589000+00:00,2011-10-12 13:26:14.148000+00:00,176446,15883
11181,COMPLETE,A_DECLINED,2012-02-02 17:43:08.774000+00:00,2012-01-23 09:29:19.156000+00:00,203137,8500
112,COMPLETE,A_SUBMITTED,2011-10-07 21:28:57.734000+00:00,2011-10-07 21:28:57.734000+00:00,175491,17000
10609,COMPLETE,O_ACCEPTED,2011-10-28 16:24:27.975000+00:00,2011-10-10 22:40:02.143000+00:00,176090,7500
112,COMPLETE,A_PARTLYSUBMITTED,2012-02-17 13:23:38.308000+00:00,2012-02-17 13:23:37.208000+00:00,210368,2500
11049,SCHEDULE,W_Valideren aanvraag,2012-01-02 13:51:25.493000+00:00,2011-12-01 16:24:33.236000+00:00,190522,15800
112,SCHEDULE,W_Afhandelen leads,2012-01-02 11:52:07.972000+00:00,2012-01-02 11:51:57.291000+00:00,197084,8500
10629,COMPLETE,A_APPROVED,2011-10-17 12:06:37.429000+00:00,2011-10-05 20:38:44.263000+00:00,174911,5000
10932,START,W_Nabellen offertes,2012-02-22 14:12:03.792000+00:00,2012-02-15 10:10:36.503000+00:00,209595,13000
112,COMPLETE,A_SUBMITTED,2012-02-07 18:23:57.977000+00:00,2012-02-07 18:23:57.977000+00:00,207236,17500
112,COMPLETE,A_DECLINED,2011-10-23 21:46:55.505000+00:00,2011-10-23 21:46:14.420000+00:00,179308,5000
10931,COMPLETE,W_Completeren aanvraag,2012-02-25 12:16:30.132000+00:00,2012-02-25 12:09:50.504000+00:00,212710,31000
,COMPLETE,W_Completeren aanvraag,2011-10-17 13:31:34.606000+00:00,2011-10-17 13:21:51.145000+00:00,177492,25000
112,COMPLETE,A_SUBMITTED,2011-12-21 11:06:58.920000+00:00,2011-12-21 11:06:58.920000+00:00,194898,10000
,COMPLETE,W_Nabellen offertes,2011-10-24 11:49:26.074000+00:00,2011-10-14 20:18:34.645000+00:00,177068,18000
11202,COMPLETE,O_SELECTED,2011-10-05 17:04:09.581000+00:00,2011-10-05 15:58:03.155000+00:00,174818,15000
10138,START,W_Valideren aanvraag,2012-01-13 13:38:29.574000+00:00,2012-01-03 15:37:46.266000+00:00,197590,32000
10982,COMPLETE,A_DECLINED,2012-01-04 20:53:42.310000+00:00,2012-01-04 20:43:11.085000+00:00,198095,6000
11180,COMPLETE,W_Completeren aanvraag,2012-01-30 14:04:37.892000+00:00,2012-01-25 19:11:32.506000+00:00,204018,15000
11180,COMPLETE,W_Nabellen offertes,2011-11-14 19:34:30.666000+00:00,2011-10-28 19:56:51.317000+00:00,180589,7500
112,COMPLETE,A_SUBMITTED,2012-02-14 21:34:37.253000+00:00,2012-02-14 21:34:37.253000+00:00,209467,30000
11189,COMPLETE,A_DECLINED,2011-11-10 13:50:54.493000+00:00,2011-11-09 16:12:35.159000+00:00,183513,10000
10138,COMPLETE,O_CANCELLED,2012-02-09 12:48:21.650000+00:00,2012-01-26 19:21:05.535000+00:00,204302,8000
10609,SCHEDULE,W_Nabellen incomplete dossiers,2011-11-11 10:20:21.809000+00:00,2011-11-04 08:18:43.202000+00:00,182122,5000
10188,START,W_Beoordelen fraude,2011-11-24 09:55:32.892000+00:00,2011-11-16 10:19:47.788000+00:00,185777,15000
11119,COMPLETE,O_SELECTED,2011-12-14 19:20:53.349000+00:00,2011-12-14 19:03:43.868000+00:00,193608,15000
11049,COMPLETE,W_Nabellen incomplete dossiers,2012-01-30 09:25:46.072000+00:00,2012-01-14 21:16:38.584000+00:00,200976,40000
10863,COMPLETE,W_Nabellen incomplete dossiers,2012-02-08 14:19:45.565000+00:00,2012-01-02 15:28:39.244000+00:00,197219,10000
10939,COMPLETE,W_Nabellen incomplete dossiers,2011-10-27 20:43:41.419000+00:00,2011-10-04 11:34:32.396000+00:00,174358,6000
11201,COMPLETE,O_SELECTED,2011-12-27 10:53:33.498000+00:00,2011-12-22 11:58:20.990000+00:00,195106,6500
11049,COMPLETE,O_SENT_BACK,2011-12-29 12:03:09.789000+00:00,2011-12-21 20:28:01.601000+00:00,195024,16000
11049,COMPLETE,O_SENT_BACK,2011-10-24 11:28:06.123000+00:00,2011-10-14 22:07:17.319000+00:00,177089,10000
112,COMPLETE,A_SUBMITTED,2012-02-15 10:38:55.836000+00:00,2012-02-15 10:38:55.836000+00:00,209613,3000
